"gene","logFC_baseline","FDR_baseline","logFC_adjusted","FDR_adjusted","sig_baseline","sig_adjusted"
"AC022075.1",-0.246014329652001,9.27086187399058e-05,-0.275946035629268,8.77382961750046e-05,FALSE,FALSE
"APOL3",0.158726810026395,9.28075006918491e-05,0.156621454174914,0.000509756104764208,FALSE,FALSE
"OR52K3P",0.370580078871149,9.29956474187151e-05,0.311474411525109,0.00387094566021187,FALSE,FALSE
"RPS19P3",-0.276880741676006,9.29956474187151e-05,-0.186094635059651,0.0128416046053586,FALSE,FALSE
"TRAV14DV4",-0.344043909979152,9.37761349587513e-05,-0.323866958821035,0.00104277813924959,FALSE,FALSE
"GSTK1",0.124509458490078,9.38428683402715e-05,0.140141565731442,6.42788928009939e-05,FALSE,FALSE
"DGCR2",0.168750162713667,9.40299319644108e-05,0.171840429521187,0.000450850755983986,FALSE,FALSE
"BMP6",0.36254071887401,9.40929314208183e-05,0.311584630387279,0.00321091410986016,FALSE,FALSE
"SMOX",0.498322155670723,9.43966063945479e-05,0.415349521299343,0.00368840033202063,FALSE,FALSE
"MIB2",-0.240832428891985,9.43966063945479e-05,-0.2293158886808,0.000729644395378162,FALSE,FALSE
"XCL1",-0.415209149903026,9.50827828882359e-05,-0.383996316327235,0.00150288888993317,FALSE,FALSE
"DIS3L2",-0.114914855375863,9.51889408290331e-05,-0.118294483950176,0.00026387225203873,FALSE,FALSE
"YIPF1",0.201805262802538,9.53076810721523e-05,0.205421025735861,0.000404581268535033,FALSE,FALSE
"C19orf38",0.27295856646381,9.5729370627036e-05,0.265981447890921,0.000747495322244367,FALSE,FALSE
"RBFA",-0.132191804594904,9.76563726286794e-05,-0.105051525869579,0.00556415521427511,FALSE,FALSE
"MFSD1",0.137799111949246,9.77138950256312e-05,0.134042024211343,0.000698813682459445,FALSE,FALSE
"AC096533.1",0.230811843707188,9.81785252474835e-05,0.231714187450364,0.000475645938063527,FALSE,FALSE
"NSUN3",0.110742575902605,9.87845100690962e-05,0.0636541364381265,0.0454960955797836,FALSE,FALSE
"C1orf35",-0.168710065162319,9.87845100690962e-05,-0.110544262444347,0.0201189218703482,FALSE,FALSE
