"gene","logFC","logCPM","F","PValue","FDR","sig"
"RPL35P5",0.105967623569444,4.68299273586348,1.30657352119856,0.253652150390508,0.400683327383216,FALSE
"MAMLD1",-0.0791182519869703,1.13967770589728,1.3059673302419,0.253762693401386,0.400815742936155,FALSE
"ZFYVE16",0.0982269325054356,4.12900109852492,1.30511225814628,0.253917401912237,0.401017882249435,FALSE
"FAM174A",0.069306411911074,3.57565549165106,1.30346884619947,0.254216136917824,0.401447419583284,FALSE
"SBNO1-AS1",0.0701412646098848,0.312479082064272,1.30230838597108,0.254429241681002,0.401741657056983,FALSE
"RINL",-0.0253643477857437,5.46947532691338,1.30178737792424,0.25452220404904,0.401846148720659,FALSE
"RNF207",-0.0853599435408067,1.28689531688344,1.3004500063362,0.254766418224352,0.402189393475927,FALSE
"TPRA1",0.040364679491058,5.44171797164893,1.30029639023681,0.254793997371068,0.402190609065736,FALSE
"ACYP2",0.0387122697361048,2.63204101226334,1.2997691857235,0.254890259161624,0.402263597068075,FALSE
"CDC6",0.113531650746296,1.02422254320475,1.29975259632858,0.254893864400022,0.402263597068075,FALSE
"TNS1",0.166236021306553,6.38626690877885,1.29904694303633,0.255022035917393,0.402414671667589,FALSE
"TIMM21",-0.0341531267877462,2.96929592971656,1.29893111776447,0.255043240782258,0.402414671667589,FALSE
"PLCH2",-0.0718268305935644,4.79804543291055,1.29842185869984,0.255136216878762,0.402519037292585,FALSE
"LIM2",0.103729855139649,0.353836693807482,1.29812726007008,0.255191842543749,0.40253752053891,FALSE
"KDM5A",0.0447731764620131,6.15569753593743,1.29806408117774,0.255201596976775,0.40253752053891,FALSE
"STMN1",-0.0595270116342935,5.43991475099783,1.29780162402228,0.255249572447489,0.402570866889953,FALSE
"RASA4CP",-0.058115773463071,2.99728839510443,1.29721447425563,0.255356991100144,0.402697948121976,FALSE
"ZNF594-DT",-0.0499925701997265,1.27438037926386,1.29545583377166,0.255679306922591,0.403163859833162,FALSE
"PDHA1",-0.0201392409915639,5.1991395853947,1.29480811883033,0.255797552740639,0.403269577867657,FALSE
