"gene","logFC_79362","logCPM_79362","F_79362","PValue_79362","FDR_79362","sig_79362","logFC_94438","logCPM_94438","F_94438","PValue_94438","FDR_94438","sig_94438","sig_status"
"SEPTIN7P7",0.0242307405977941,1.84043669914201,0.344632740552145,0.557538137679506,0.66878908178962,FALSE,-0.111552278935398,1.26535009128029,5.2523712315313,0.0223998820012807,0.0665299999570805,FALSE,"Neither"
"SF3B4",0.0202708499169171,6.39275931879049,0.344571144902415,0.557573355896124,0.66878908178962,FALSE,0.0820178737819419,6.96702843806782,3.03858613505565,0.082021672967038,0.175809278161381,FALSE,"Neither"
"SQLE",-0.0222396080400889,3.27254291171437,0.344122977448873,0.557829876634033,0.668999826693453,FALSE,-0.0935123262419334,2.9526378210062,4.28957878009567,0.0389428540946282,0.100433332839541,FALSE,"Neither"
"RPL13AP20",-0.039622573599462,2.55123146454261,0.343788024005221,0.558021723404867,0.66918142926241,FALSE,0.0230056802115917,1.58041789771118,0.127038563132459,0.721697485323326,0.819103168014869,FALSE,"Neither"
"OTUD1",0.0202088028909406,5.0446283751625,0.343663747699627,0.558092357030115,0.669192294057894,FALSE,0.0417685830176431,4.49395235835994,0.538114938817288,0.463614869245921,0.608499586039135,FALSE,"Neither"
"SWSAP1",0.019970613741118,2.37460100787317,0.343599086503115,0.558129867104331,0.669192294057894,FALSE,0.0733225689329248,2.47994955905634,4.31093796279965,0.0384618367509972,0.0995654361580363,FALSE,"Neither"
"TRBV6-1",-0.0345415521398732,2.43653787079061,0.343530842027559,0.558168942734904,0.669192294057894,FALSE,-0.0567150054489051,2.88627504811957,0.62185070029745,0.430795073990588,0.579154736088073,FALSE,"Neither"
"SAE1",-0.0142907322670804,5.84604412081643,0.343488862796159,0.558192472887071,0.669192294057894,FALSE,-0.0128162021128057,5.84138097687671,0.240038067123774,0.624428556502827,0.744234305605419,FALSE,"Neither"
"CHKB",-0.025802115532918,3.42139567240829,0.343271555488777,0.558317192385265,0.669258274205775,FALSE,0.0105636905975991,3.39816358189637,0.0451736535867379,0.831785786641184,0.895983089976724,FALSE,"Neither"
"SLC22A18",0.0289202821813865,5.16706191215284,0.343251639439828,0.558328361525579,0.669258274205775,FALSE,0.187358890019358,5.62765038867161,8.29410573897827,0.004176191245256,0.0186074312626464,FALSE,"Neither"
"TMED3",-0.0186924000513999,5.27072453912368,0.342830090338374,0.558569970878677,0.669450942438029,FALSE,0.0830045254057084,5.47445826628189,3.53858476819182,0.0606322085091748,0.140025306658658,FALSE,"Neither"
"ZMYM5",0.0208755392433246,3.86185281388936,0.342573376406254,0.558717329318622,0.66957907824452,FALSE,-0.012098586620395,2.81418523756141,0.0401100678955327,0.841360247612337,0.901513208676543,FALSE,"Neither"
"AGBL5",0.0142949179515423,3.99252618325351,0.342293803495256,0.558877733654712,0.669722828856588,FALSE,-0.0751101149379633,4.02743318670371,10.0482124735359,0.00163399048020686,0.00901880985432792,FALSE,"Neither"
"CBLN3",-0.0396901486700523,2.37731593882713,0.342217595099885,0.558921865004379,0.669727234738528,FALSE,-0.015751288165672,2.3273353617828,0.051129739585728,0.821216462900084,0.889930850384422,FALSE,"Neither"
"SEPTIN2",0.00977797166796046,7.66489177583646,0.341982521245535,0.559056346601779,0.669839894187772,FALSE,0.039363646700124,7.21857572468183,2.05673598237704,0.152261453395806,0.276206326946056,FALSE,"Neither"
"PAGR1",0.0141072419552862,3.81642056550615,0.341686267574072,0.559226696907022,0.66999551073207,FALSE,-0.0644383869864049,3.9019171317136,5.660036380357,0.0177914449709092,0.0559671330370265,FALSE,"Neither"
"SHARPIN",0.0327924847242136,6.32343258355329,0.341180932285493,0.559517099502032,0.670233175891415,FALSE,0.114695801324328,7.32343183017246,2.02572569913713,0.155380354744996,0.280395379587375,FALSE,"Neither"
"ESF1",-0.0336043194187097,2.76144496946533,0.34113062555758,0.559546525158276,0.670233175891415,FALSE,-0.0723608788714916,1.68683680826523,0.711196344015471,0.39951611520405,0.550118472720621,FALSE,"Neither"
"SF3A3P2",0.0195793352253129,1.86816101783199,0.341004170610532,0.559618829929766,0.670271287041476,FALSE,-0.0917872478902313,1.51409019572667,7.6896921837386,0.00579541067831991,0.0238853711527899,FALSE,"Neither"
"RPL29P11",0.035783682779612,4.02161971222008,0.340583956703138,0.559860816661376,0.670370855756345,FALSE,-0.0329745210727641,3.92901978653734,0.26479925528175,0.607106465726531,0.731995753806302,FALSE,"Neither"
"ARHGAP11A",0.0369804620022575,1.93710009445593,0.340578612877267,0.559863935468875,0.670370855756345,FALSE,0.0253103182668337,1.08530385833154,0.127049423953067,0.721686168718862,0.819103168014869,FALSE,"Neither"
"CD9",-0.046753488891289,4.71854968937204,0.339093417107811,0.560720443811224,0.671299316408361,FALSE,-0.0895640257321701,4.86088393486657,1.06202669080518,0.303332852233709,0.455652292901783,FALSE,"Neither"
"IGF1R",-0.0345756449223645,6.60816943055624,0.338969986778167,0.56079171362349,0.671336092200222,FALSE,-0.0572507270467304,5.89831794564955,0.651131318230377,0.420154704820226,0.568926622134151,FALSE,"Neither"
"PLA2G12A",0.0211214156112392,3.16081330655085,0.338740181671419,0.560924863903899,0.671399806170537,FALSE,-0.00363327278491995,2.6906254614665,0.00675312125900442,0.934543915601195,0.961560833584703,FALSE,"Neither"
"ELP3",-0.0139410987764721,5.16258581857177,0.338737559252061,0.560926047668058,0.671399806170537,FALSE,-0.0196247025502096,5.18972969296775,0.528336272167294,0.467702787953119,0.611884296230286,FALSE,"Neither"
"UBXN11",-0.0210113375188104,7.15531298748397,0.338413770118588,0.561113249000355,0.671558081102977,FALSE,0.164945719568377,7.30014125227732,12.8626128789806,0.000373714379376133,0.00291093619906581,FALSE,"Neither"
"TRAPPC8",0.0172386872338604,6.26173815605071,0.338317650391768,0.561168852824667,0.671558081102977,FALSE,0.00368978196649108,5.35623544631821,0.00431876742740325,0.947633425486874,0.969671518737132,FALSE,"Neither"
"ZNF468",0.0209528346845906,3.93928277402279,0.338298631569229,0.561179975474393,0.671558081102977,FALSE,-0.0428326256142537,3.15584858194932,0.534369479179678,0.465173879888974,0.609852184400454,FALSE,"Neither"
"IGHV3-49",0.0959608343180002,3.26073846158387,0.338170128055569,0.561254514536439,0.671598734235688,FALSE,-0.0363559575245616,3.0519633302259,0.0841483180738531,0.77189239920504,0.855617686779519,FALSE,"Neither"
