"gene","logFC","logCPM","F","PValue","FDR"
"SYCP2",-0.217409523219806,1.18926204679794,4.16323442924604,0.0419273422369182,0.100945913695755
"APP",0.103660129934582,5.78459569409346,4.16198646819381,0.0419573696475268,0.101001562091043
"UBBP4",0.202530791600941,5.52942425806682,4.161719327561,0.0419639205781543,0.101001562091043
"USP13",-0.0855801687285676,2.23827176489502,4.16124947476293,0.0419755708868431,0.10101339660642
"TRGV9",-0.181623893747178,2.70480355884628,4.1596551397625,0.0420146516018631,0.101091227478933
"EBLN3P",-0.145038480340629,5.60561703083065,4.15910822556476,0.0420280062820861,0.101097179239633
"TRIP10",-0.0873082788488777,2.97219852772526,4.15858086113912,0.0420410184549881,0.101097179239633
"BRD9",-0.0680153413559747,5.68574427349744,4.15845484156349,0.0420440587745455,0.101097179239633
"DUS4L",-0.101209940857603,0.885753072316463,4.15848777428607,0.0420440808742883,0.101097179239633
"NUBPL",-0.104491752184715,1.52325489498696,4.1567540062219,0.042086198662647,0.101172904162139
"DUSP16",-0.0740343456741383,5.10188039275038,4.15662454030605,0.0420890611169117,0.101172904162139
"ASAH2B",-0.161065676885262,-0.0724826762443444,4.15561009893502,0.0421176004659187,0.101225287117865
"TRPM7",-0.122495573310795,4.7664263172557,4.15478826881097,0.0421342615290653,0.101249109636239
"STK32C",0.101394995580135,4.44696427293684,4.15294005813558,0.0421798092092244,0.101342328276231
"NUTF2",0.0712879618608157,5.80373736734915,4.15114659379977,0.0422240513167585,0.101432380761251
"PFDN6",0.0758452668860838,4.28686611569143,4.15068953946182,0.0422353399491644,0.101443254869895
"PFN1P1",0.100200071738337,6.88482706322349,4.14924728260155,0.042270961651584,0.101512560700666
"ANKMY1",-0.0613613625331692,4.75715744476321,4.1463820956764,0.0423418335252762,0.10166648312199
"ATP5MC2P4",0.0890529090430261,1.76761529245217,4.1444770378853,0.0423892619076444,0.101718954201174
"EFEMP2",0.095715823471588,3.29215094862678,4.14437805797397,0.0423915199387605,0.101718954201174
"PGM1",0.0847821485599601,5.16591843547763,4.14422597866912,0.042395247094871,0.101718954201174
"CALR",0.0778735842074554,8.38214906802026,4.14422378295794,0.0423953007729771,0.101718954201174
"PARGP1",-0.16115909723572,-0.282279966603973,4.14432670001647,0.0423975883628812,0.101718954201174
"SLC15A2",-0.0939598122113142,3.27062060016646,4.14266238459946,0.0424340704544517,0.101790202263781
"TMEM143",-0.0636781122545964,3.31735995934035,4.14152040397501,0.042462414978098,0.101841910391915
"INO80E",-0.064007167553811,6.56383176127818,4.14006667501791,0.0424984873320975,0.101912133464854
"ZMYM3",-0.0614708813373796,5.10284063088268,4.13863549170848,0.0425340736594784,0.101981168777289
"CRISP3",-0.320632611832687,1.28402542516896,4.13526405808904,0.0426185147926134,0.102167299283922
"NDUFA2",0.108791894036109,5.31376632043423,4.13436168330558,0.0426405271433379,0.102181342616506
"SPICE1",-0.135108174100654,-0.133662475630061,4.13435165653559,0.0426446661449767,0.102181342616506
"STK17B",0.0909590011640196,7.52086882174087,4.13419009080398,0.0426448064339383,0.102181342616506
"RNF146",0.0843027536376565,5.035832739127,4.12995104685775,0.0427506838808291,0.102414286215826
"MARK4",0.0873206674850228,5.53642603222903,4.12975136480928,0.0427556775476414,0.102414286215826
"ZGRF1",-0.13116708220463,1.73019817508239,4.1287132004273,0.0427819031861408,0.102460745785199
"ATP5MG",0.104874954137482,4.60620327726572,4.12767223790237,0.0428077181827235,0.102506207211048
"SMAD7",-0.0948075400681297,4.202080151975,4.12648121968509,0.0428375596650558,0.102561294301814
"GSK3A",0.0911419301481799,7.07439408519595,4.12512216167552,0.042871629939335,0.102626486732073
"ETAA1",-0.157022036509673,2.35850162169023,4.1247459651682,0.042881186485688,0.10263298654408
"STAT4-AS1",-0.121942722888589,0.827666294497252,4.12261880738395,0.0429353725294094,0.102746284684352
"ZNF404",-0.14721348132278,0.313816629800088,4.12104298106422,0.0429761386900113,0.102827437420662
"ZNF335",-0.0562510036151117,6.73177630051975,4.11788571500382,0.0430535545904955,0.102996240785619
"MRPS7",0.0645717687894716,4.67604745566996,4.11509136236219,0.0431240247680484,0.103148376844748
"PBX4",-0.0882989979315685,3.42258440026542,4.11453353517826,0.0431381402177134,0.103165690984559
"MRPL12",0.0974635914374529,3.21550773368842,4.11327281810526,0.0431699944000162,0.103210208533743
"ENO3",-0.0823390298262535,3.95936623579887,4.11325080823235,0.0431705145013489,0.103210208533743
"RAB33B",0.180222322454294,3.3819497000567,4.11128872382144,0.0432201516370583,0.10331133929756
"RAD23B",0.0727464414450319,6.17374671372963,4.11103281872444,0.0432265882396201,0.10331133929756
"ANKHD1-EIF4EBP3",0.0780544989495353,2.96379221924893,4.10818713260928,0.0432987135559447,0.103467234910207
"TSGA10",-0.14918335586775,0.605482179602514,4.10728452865885,0.0433228971840761,0.103508536957399
"RPN2",0.0554187537327052,7.36297844661932,4.10664815933973,0.0433376844886568,0.103527379410642
"DMTF1",-0.110521932400846,5.7233262778179,4.10533418151243,0.0433710363405323,0.103590556787242
"ZNF608",-0.172947497921753,0.921422975667306,4.10398546457576,0.0434060941297379,0.103657787986999
"HUWE1",-0.0664780888919824,7.10237962243165,4.10172119494175,0.0434628813372874,0.103776881397738
"EID3",-0.110625530233778,1.38585888989967,4.10085345706939,0.0434853865647461,0.103814094405525
"NEPRO",-0.0524366851712834,5.35218408252175,4.10055937615901,0.0434924598005306,0.103814460131672
"FDPS",0.0643472800527433,5.59996916469824,4.10020459814618,0.0435014959836767,0.103819510459293
"GIMAP7",-0.115308040162438,6.45758583094534,4.0989618640457,0.043533164287181,0.10386523967291
"FAN1",-0.0767638635142802,4.58361038086673,4.09877415673825,0.0435379520707192,0.10386523967291
"TP53I11",0.13748087188366,7.06485611205093,4.09847568966918,0.0435455599888315,0.10386523967291
"POLRMT",-0.0701220431513031,5.94280876837834,4.09836626055182,0.043548350722744,0.10386523967291
"NIF3L1",-0.0672091782863674,3.94606679161508,4.09636935486217,0.0435993192522269,0.103967248275718
"SNRNP48",-0.0697445060884331,3.80706749942735,4.09614774065562,0.0436049810792438,0.103967248275718
"FAM86DP",-0.102918520587484,2.24022707281512,4.09441901857116,0.0436492621562376,0.104040426953477
"HERC2P9",-0.110103981508173,2.21194031623449,4.09440844400724,0.0436495432105842,0.104040426953477
"NFIA",0.074416827861277,1.8321490566343,4.0928192534977,0.0436902692514552,0.104120956204977
"GAPDHP61",0.131765241128088,0.0980422653489144,4.09200113902615,0.0437136407738299,0.104160107828621
"TRAV38-2DV8",-0.131758911751043,1.91498033822149,4.09147394329064,0.0437246876966087,0.104169884837943
