"gene","logFC_baseline","FDR_baseline","logFC_adjusted","FDR_adjusted","sig_baseline","sig_adjusted","change"
"CSDE1",0.0849638852136219,1.89416856816645e-05,0.0629451934644502,0.0380880742148203,FALSE,FALSE,"Not significant"
"ENTR1",-0.126512950303214,1.89416856816645e-05,-0.100856892401978,0.024817141569433,FALSE,FALSE,"Not significant"
"TNFSF13B",0.423673691112752,1.89787607345105e-05,0.415619634510121,0.00236475287992365,FALSE,FALSE,"Not significant"
"RBM47",0.324395234415761,1.90086802344077e-05,0.288348119250932,0.0149538993600626,FALSE,FALSE,"Not significant"
"MEI1",-0.196562492218354,1.90086802344077e-05,-0.139163777026077,0.038067675761767,FALSE,FALSE,"Not significant"
"TNFRSF1A",0.269241991443013,1.90113182581789e-05,0.244398380317886,0.0121574317104161,FALSE,FALSE,"Not significant"
"RNF24",0.321289526246759,1.90620034374897e-05,0.290483946298556,0.0136657165991527,FALSE,FALSE,"Not significant"
"RALGAPA2",0.235713100207097,1.90991498796922e-05,0.207298513044739,0.0129662689800497,FALSE,FALSE,"Not significant"
"APCDD1",0.386041122357951,1.91455908450882e-05,0.355781659930445,0.00927472737226519,FALSE,FALSE,"Not significant"
"EVL",-0.158271198543493,1.91455908450882e-05,-0.182073317708944,0.00183081272383655,FALSE,FALSE,"Not significant"
"LRG1",0.456502758656438,1.92481513632125e-05,0.306157639892355,0.0730399033797697,FALSE,FALSE,"Not significant"
"CDV3",0.0921357448904938,1.9394647859411e-05,0.0989566176199715,0.00333174584886654,FALSE,FALSE,"Not significant"
"FFAR2",0.423316534984542,1.94007470178135e-05,0.391895661210393,0.00816182132989946,FALSE,FALSE,"Not significant"
"AC002511.2",0.483848326656141,1.94384925933149e-05,0.424974352756767,0.0111736585043942,FALSE,FALSE,"Not significant"
"PRR4",-0.365607002672858,1.94586797409167e-05,-0.449599242512472,0.00333696034782435,FALSE,FALSE,"Not significant"
"LRRC14",-0.143345669733653,1.94675403723589e-05,-0.126024331991598,0.0119950795528072,FALSE,FALSE,"Not significant"
"SEPTIN1",-0.177081316966526,1.95550374493218e-05,-0.178953462735081,0.00424581006539243,FALSE,FALSE,"Not significant"
