"gene","logFC","logCPM","t","PValue","FDR","B","sig"
"HERC5",0.573192427011602,5.75649789924916,3.48502794264587,0.00055417164157599,0.0102319970873414,-0.625007623426737,FALSE
"PYURF",-0.0104343062050413,5.26469599623453,-0.205265434596304,0.837483258589746,0.906949391375237,-6.44607574515321,FALSE
"HERC3",0.0712936246855135,1.46646087071781,1.07540419926242,0.282929491618756,0.483531479166101,-5.36241067310844,FALSE
"NAP1L5",-0.0768972107895448,0.940903656751572,-1.07906984449985,0.281294572382688,0.481824277888815,-5.2757397988769,FALSE
"FAM13A-AS1",0.0727490957882456,5.90972526026495,1.40710977684995,0.16027614594624,0.342857164509626,-5.50595138487094,FALSE
"FAM13A",0.123883504373673,4.36155007620005,2.9822740334737,0.00306031561842925,0.0295759048821344,-2.11587011077311,FALSE
"TIGD2",-0.0157341228244836,2.1096229260578,-0.321761601051174,0.747824069893445,0.85377879152244,-5.95626913415031,FALSE
"GPRIN3",-0.0576384069658732,5.84686962665538,-0.940763127221261,0.347470648164568,0.549069479205326,-6.04120676501501,FALSE
"SNCA",0.0893662476018817,5.25732976152707,0.436503911515004,0.66273846301191,0.798401634053425,-6.37326350586334,FALSE
"MMRN1",-0.14194769643354,1.04411457680048,-1.37218317120173,0.170879182827782,0.356420208183222,-4.9578438643797,FALSE
"TMSB4XP8",0.0611771753216639,8.94029796341949,1.69842720460444,0.0903097935330187,0.240344026817395,-4.84695190399843,FALSE
"SMARCAD1",-0.095361690406659,4.77771480431125,-1.8566565832319,0.0641943202656815,0.193682699471179,-4.75528110653784,FALSE
"PDLIM5",0.101261515473383,4.9895337709015,2.73803860000757,0.00649442149125821,0.0473635012280968,-2.82671264380917,FALSE
"COX7A2P2",-0.21820770911766,-0.254990508380675,-1.66932989585033,0.0959400334531885,0.249769972293998,-4.39705074517746,FALSE
"RPL5P12",0.00981601399647133,1.01338786888062,0.0977397050194977,0.922194550717197,0.959761789597234,-5.81422006853316,FALSE
"RAP1GDS1",-0.0337831073775411,5.39333866171055,-1.2039589510224,0.229413474365832,0.426543134335843,-5.76189394310649,FALSE
"TSPAN5",-0.0322194135017687,4.7799376410259,-0.3770585860422,0.706357012067506,0.827289730086845,-6.3657782176532,FALSE
"BTF3P13",0.20717951932428,0.470971388804529,3.0745532190472,0.00227269782053483,0.0244156472543505,-1.54216199104592,FALSE
"EIF4E",-0.00217971362567851,3.54758313044929,-0.045904088950503,0.96341269542534,0.981789949325699,-6.2720864465706,FALSE
"METAP1",-0.0691755588240685,5.41300491210179,-2.51742986701612,0.0122643154595858,0.0707195201788379,-3.3955089493093,FALSE
"ADH5",-0.0482002136963216,5.19733894080312,-1.00973184743891,0.313316540951738,0.515422002179464,-5.96378323731144,FALSE
"AP002026.1",-0.251787726462984,0.415286614792367,-2.72869353923911,0.00667733955465168,0.0482722080031697,-2.41488093601273,FALSE
"TRMT10A",0.0148864802086797,1.99834825320126,0.23428328613668,0.814901109081837,0.893304718636592,-5.9619868047184,FALSE
"DAPP1",0.357858318064769,6.72215582970332,5.21984926435829,3.06568315384333e-07,7.574982777892e-05,6.38511740327692,FALSE
"LAMTOR3",-0.0242623303666674,4.93420387319389,-0.387094748968677,0.698919716517503,0.82277009933494,-6.37495763574169,FALSE
"DNAJB14",-0.0357103291734426,6.05968196193324,-0.539402621540391,0.589949693533399,0.749663584314201,-6.32643481666485,FALSE
"H2AZ1",0.0104042358124035,6.66475712024016,0.196144976787082,0.844609747234207,0.912339447048304,-6.41580264937607,FALSE
"PPP3CA",0.0333502280673532,6.16939030713393,0.763795826585875,0.445499968735284,0.636453842770944,-6.17876435283905,FALSE
"AP001816.1",-0.150740879843598,1.24508891884617,-2.00041464909705,0.0462223230153634,0.158856250263513,-4.01578805417249,FALSE
